GRID_ID,time,nbart_blue_mean,nbart_green_mean,nbart_red_mean,nbart_nir_1_mean,nbart_swir_2_mean,nbart_swir_3_mean
DIO-3657,2025-03-31,6582.318359375,6446.49951171875,6433.45947265625,7100.03125,2966.817138671875,2550.99365234375
DIO-3657,2025-04-30,267.765869140625,422.24810791015625,285.253173828125,2705.4599609375,1154.348388671875,495.8534240722656
DIO-3657,2025-05-31,354.4619140625,502.9238586425781,374.31536865234375,2642.5,1183.0938720703125,548.3991088867188
DIO-3657,2025-06-30,310.3140869140625,447.1072387695313,323.3337707519531,2757.52294921875,1143.2379150390625,502.0361633300781
DIO-3657,2025-07-31,277.5672607421875,434.30902099609375,321.5520324707031,2784.95556640625,1207.6376953125,555.0951538085938
DIO-3657,2025-08-31,284.4295654296875,424.1529235839844,319.4136962890625,2549.740478515625,1202.0146484375,546.31982421875
DIO-3657,2025-09-30,332.3013916015625,459.8147277832031,346.7106628417969,2574.530517578125,1295.7994384765625,595.9207153320312
DIO-3657,2025-10-31,781.833740234375,868.275390625,779.3426513671875,2655.156005859375,1636.6688232421875,1042.833740234375
DIO-3657,2025-11-30,538.9390869140625,672.4873046875,509.1852722167969,2987.583740234375,1483.244873046875,725.935302734375
DIO-3657,2025-12-31,345.03173828125,494.8121948242188,358.1065979003906,2621.098876953125,1263.3565673828125,581.1878051757812
DIO-3658,2025-01-31,736.2074584960938,892.791259765625,751.1110229492188,3078.954833984375,2084.666259765625,1221.9346923828125
DIO-3658,2025-02-28,769.5069580078125,926.9105224609376,812.3566284179688,2976.42138671875,1963.458740234375,1153.486083984375
DIO-3658,2025-03-31,6851.6162109375,6708.5927734375,6702.4287109375,7322.55908203125,3016.350341796875,2594.8876953125
DIO-3658,2025-04-30,544.8585205078125,716.6180419921875,620.346435546875,2750.992919921875,1852.0374755859373,1056.50439453125
DIO-3658,2025-05-31,620.4403686523438,786.3895874023438,695.4739990234375,2742.022216796875,1831.647216796875,1089.2652587890625
DIO-3658,2025-06-30,574.8515014648438,732.30517578125,658.2868041992188,2792.9599609375,1826.210693359375,1062.4632568359375
DIO-3658,2025-07-31,551.400390625,726.2113037109375,667.1871948242188,2778.7666015625,1924.1986083984373,1168.69482421875
DIO-3658,2025-08-31,543.8344116210938,706.5336303710938,657.4619140625,2618.62744140625,1908.596435546875,1126.3248291015625
DIO-3658,2025-09-30,618.5298461914062,775.5704345703125,720.6865234375,2692.5341796875,2079.586181640625,1248.8280029296875
DIO-3658,2025-10-31,1256.935302734375,1343.474609375,1289.89599609375,2780.843994140625,2225.842529296875,1524.6890869140625
DIO-3658,2025-11-30,900.096435546875,1042.0672607421875,906.6941528320312,3277.975830078125,2074.4873046875,1330.1561279296875
DIO-3658,2025-12-31,653.3641967773438,836.7931518554688,723.8312377929688,2910.07861328125,2044.86669921875,1223.8160400390625
