time,spatial_ref_mean,blue_mean,red_mean,nir08_mean,swir16_mean,swir22_mean,green_mean
2017-08-31,0,2517.9235033259424,2567.3647450110866,4563.386917960089,3118.9268292682927,2738.3359201773837,2644.8647450110866
2017-08-31,0,2522.1798941798943,2588.1481481481483,4771.132275132275,3252.2804232804233,2797.973544973545,2669.5158730158732
2017-09-30,0,2537.7195121951218,2606.2627494456765,4617.881374722838,3218.789356984479,2798.2616407982264,2676.4356984478936
2017-09-30,0,2541.2063492063494,2632.5925925925926,4779.10582010582,3358.8571428571427,2867.1878306878307,2700.531746031746
2017-10-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0,2628.2486772486773,2604.574074074074,5767.219576719577,3609.968253968254,2929.26455026455,2798.989417989418
2017-11-30,0,2782.7705099778273,2828.4855875831486,5881.258314855876,3804.143015521064,3189.1175166297116,2986.2605321507763
2017-12-31,0,2771.411308203991,2916.879157427938,5927.067627494457,3887.2727272727275,3393.5831485587582,3160.1541019955653
2017-12-31,0,2760.190476190476,3012.931216931217,5989.015873015873,4032.685185185185,3432.1878306878307,3198.2619047619046
2018-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0,2537.941241685144,2607.6241685144123,5044.460088691796,3301.2915742793793,2796.619733924612,2717.7538802660756
2018-02-28,0,2545.190476190476,2616.89417989418,5232.978835978836,3415.1481481481483,2838.1878306878307,2741.121693121693
2018-03-31,0,2526.6150793650795,2580.772486772487,5003.793650793651,3257.6613756613756,2780.4748677248676,2696.5767195767194
2018-03-31,0,2526.899667405765,2562.018847006652,4947.878048780488,3168.1546563192906,2738.9334811529934,2674.4833702882484
2018-04-30,0,2517.535714285714,2562.85582010582,5026.723544973545,3252.4880952380954,2763.304232804233,2667.3756613756614
2018-04-30,0,2516.560421286031,2552.4761640798224,4812.978381374723,3130.027161862528,2717.65133037694,2649.0831485587582
2018-05-31,0,2505.808203991131,2545.0,4660.645232815965,3046.7549889135257,2686.9223946784923,2631.917960088692
2018-05-31,0,2509.505291005291,2555.328042328042,4932.756613756614,3171.5608465608466,2732.4074074074074,2653.404761904762
2018-06-30,0,2492.2366962305987,2544.190687361419,4549.890798226164,3022.947893569845,2671.0476718403547,2622.7095343680708
2018-06-30,0,2499.026455026455,2559.2579365079364,4836.521164021164,3156.3492063492063,2721.14417989418,2646.5383597883597
2018-07-31,0,2499.217849223947,2552.451219512195,4492.167405764967,3035.1125277161864,2688.256097560976,2629.90022172949
2018-07-31,0,2504.8174603174602,2568.259259259259,4776.91798941799,3169.175925925926,2741.0330687830688,2655.3015873015875
2018-08-31,0,2533.074074074074,2618.2433862433863,4668.989417989418,3272.5925925925926,2815.171957671958,2694.2698412698414
2018-08-31,0,2523.3237250554325,2592.257206208426,4483.859201773836,3132.6840354767182,2750.420177383592,2666.59866962306
2018-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-31,0,2530.354497354497,2628.585978835979,4674.326719576719,3342.7486772486773,2843.1203703703704,2726.203703703704
2018-10-31,0,2602.8985587583147,2770.167960088692,4941.057649667406,3522.3431263858092,3014.512195121951,2859.722838137472
2018-11-30,0,2642.5166297117516,2808.1851441241683,4343.817073170731,3420.4124168514413,3069.052106430155,2903.3237250554325
2018-11-30,0,5918.989417989418,6357.5661375661375,7929.619047619048,7363.849206349207,6469.216931216931,6246.976190476191
2018-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,0,2558.7195767195767,2679.2804232804233,4738.185185185185,3506.5793650793653,2944.8253968253966,2822.9021164021165
2019-02-28,0,2563.7184035476716,2687.2461197339244,4840.2228381374725,3510.0532150776053,2958.521064301552,2834.521064301552
2019-03-31,0,2523.9052106430154,2569.0033259423503,4442.782150776054,3170.0637472283815,2743.3564301552105,2669.54822616408
2019-03-31,0,2531.4563492063494,2587.322751322751,4574.230158730159,3301.8002645502647,2799.4325396825398,2691.1428571428573
2019-04-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-31,0,2511.363756613757,2547.546296296296,4693.548941798942,3198.7341269841268,2746.425925925926,2645.01455026455
2019-05-31,0,2503.055986696231,2534.2937915742796,4443.259423503326,3063.828713968958,2693.871951219512,2621.732815964523
2019-06-30,0,5012.417960088692,5210.970066518847,6811.485587583148,5266.695121951219,4509.355875831486,5146.835365853659
2019-06-30,0,4166.390211640211,4441.9682539682535,6420.562169312169,4951.165343915344,4309.806878306878,4376.333333333333
2019-07-31,0,2504.559866962306,2543.8015521064303,4372.952882483371,3032.3148558758317,2682.3264966740576,2622.9761640798224
2019-07-31,0,2511.834656084656,2562.468253968254,4640.578042328042,3178.5873015873017,2741.578042328042,2649.839947089947
2019-08-31,0,2522.4783813747226,2598.6773835920176,4407.4246119733925,3171.1457871396897,2774.620288248337,2662.450110864745
2019-08-31,0,2533.304232804233,2623.490740740741,4571.588624338624,3315.612433862434,2841.042328042328,2688.291005291005
2019-09-30,0,2524.5637472283815,2622.6435698447895,4230.854767184035,3177.2627494456765,2787.6053215077604,2681.5354767184035
2019-09-30,0,2636.671957671958,2899.4497354497353,4933.338624338624,3844.2751322751324,3221.472222222222,2923.3068783068784
2019-10-31,0,2570.308201058201,2698.410052910053,4799.792328042328,3554.8425925925926,2983.8492063492063,2759.1415343915346
2019-10-31,0,2519.598115299335,2603.1746119733925,4125.315410199557,3144.1657427937917,2772.139135254989,2661.1762749445675
2019-11-30,0,2594.7777161862527,2787.79822616408,4782.461751662971,3663.60088691796,3056.85199556541,2828.4883592017736
2019-11-30,0,2609.527777777778,2838.9206349206347,4813.895502645502,3821.654761904762,3153.19708994709,2862.665343915344
